AADT,Peak_Flow_Q_vph,Travel_Time_Current_min,Travel_Time_Proposed_min,Difference_min,Percent_Increase,Scenario,Micro_Current_min,Micro_Proposed_min
10000,550.0,5.333528645833334,5.336458333333334,0.0029296875,0.05,BPR_Analysis,,
11000,605.0,5.333619290364584,5.337908645833333,0.004289355468749534,0.08,BPR_Analysis,,
12000,660.0,5.333738333333333,5.339813333333334,0.006075000000000941,0.11,BPR_Analysis,,
13000,715.0000000000001,5.333891165364585,5.342258645833332,0.008367480468747246,0.16,BPR_Analysis,,
14000,770.0000000000001,5.334083645833334,5.345338333333332,0.011254687499998361,0.21,BPR_Analysis,,
15000,825.0000000000001,5.334322102864584,5.349153645833334,0.01483154296875,0.28,BPR_Analysis,,
16000,880.0000000000001,5.334613333333333,5.353813333333334,0.01920000000000055,0.36,BPR_Analysis,,
17000,935.0000000000001,5.334964602864583,5.359433645833334,0.024469042968750188,0.46,BPR_Analysis,,
18000,990.0000000000001,5.335383645833333,5.366138333333334,0.030754687500000877,0.58,BPR_Analysis,,
19000,1045.0,5.335878665364584,5.374058645833333,0.038179980468749264,0.72,BPR_Analysis,,
20000,1100.0,5.336458333333334,5.383333333333334,0.046875,0.88,BPR_Analysis,,
21000,1155.0,5.337131790364584,5.394108645833333,0.056976855468748866,1.07,BPR_Analysis,,
22000,1210.0,5.337908645833333,5.406538333333334,0.06862968750000054,1.29,BPR_Analysis,,
23000,1265.0,5.338798977864584,5.420783645833334,0.08198466796874992,1.54,BPR_Analysis,,
24000,1320.0,5.339813333333334,5.437013333333332,0.09719999999999818,1.82,BPR_Analysis,,
25000,1375.0,5.340962727864583,5.455403645833333,0.11444091796875,2.14,BPR_Analysis,,
26000,1430.0000000000002,5.342258645833332,5.476138333333334,0.13387968750000212,2.51,BPR_Analysis,,
27000,1485.0000000000002,5.343713040364585,5.499408645833332,0.15569560546874772,2.91,BPR_Analysis,,
28000,1540.0000000000002,5.345338333333332,5.525413333333333,0.18007500000000043,3.37,BPR_Analysis,,
29000,1595.0000000000002,5.347147415364584,5.554358645833333,0.207211230468749,3.88,BPR_Analysis,,
30000,1650.0000000000002,5.349153645833334,5.586458333333334,0.2373046875,4.44,BPR_Analysis,,
15000,,,,-1.7630071304629986,-5.55,Microsimulation,31.792187061333394,30.029179930870395
20000,,,,-0.1998721179957137,-0.65,Microsimulation,30.94538425080003,30.745512132804315
25000,,,,1.0190743195777117,3.41,Microsimulation,29.915173382651762,30.934247702229474
30000,,,,0.3438990300660052,1.09,Microsimulation,31.671836812418526,32.01573584248453
